id;tp;Tip;Varsta;Judet;Localitate;ID_polita;TipPolita;sex;ID_client
NULL;ASIGURAT;PJ;NULL;CLUJ;DEJ;15634668;RCA;;56f98853094ccb2602e9353e4a1c5a5c
NULL;ASIGURAT;PJ;NULL;ARGES;CAMPULUNG;21625659;RCA;;c549c436477e4f32a896676179ecfbd7
NULL;ASIGURAT;PJ;NULL;CLUJ;CLUJ NAPOCA;19294623;RCA;;fd372796873e1de997eb69d3bad0dc2b
NULL;ASIGURAT;PJ;NULL;CLUJ;CLUJ NAPOCA;18622563;RCA;;fd372796873e1de997eb69d3bad0dc2b
NULL;ASIGURAT;PJ;NULL;BISTRITA NASAUD;BISTRITA;201700161;RCA;;759341262e3ce21e218caeaf49a1c6e3
NULL;ASIGURAT;PJ;NULL;CLUJ;CLUJ NAPOCA;25727840;RCA;;01a53a34824b20b505bd5b3973b95bc0
NULL;ASIGURAT;PJ;NULL;ARGES;PITESTI;6392099;RCA;;d2265265d8177d6115ddefa176b10c46
NULL;ASIGURAT;PJ;NULL;ARAD;ZIMANDU NOU;12077250;RCA;;4722b90555b6307657d3e5148360ab9d
NULL;ASIGURAT;PJ;NULL;BUCURESTI;SECTOR 1;22941728;RCA;;dfc28d36b15690835d874cd68d428bf2
NULL;ASIGURAT;PJ;NULL;MEHEDINTI;DROBETA-TURNU SEVERIN;26514506;RCA;;b6e893e9103915a8d9d45c2a620bb899
NULL;ASIGURAT;PJ;NULL;BUCURESTI;BUCURESTI SECTORUL 1;17321877;RCA;;8d67d22a2e2fa567c933701c97ba8acd
NULL;ASIGURAT;PJ;NULL;ALBA;ALBA IULIA;13076139;RCA;;7752856200564cd220bac592cb96d189
NULL;ASIGURAT;PJ;NULL;BUCURESTI;BUCURESTI SECTORUL 4;11139221;RCA;;92ea7b12061a7563834bf43e4878b204
NULL;ASIGURAT;PJ;NULL;MARAMURES;VISEU DE SUS;21860496;RCA;;2480f8b91003d0272ed174232adc8ca1
NULL;ASIGURAT;PJ;NULL;ILFOV;CIOROGARLA;15281908;RCA;;4497aaf25ffc3e8c46ddfbd529b6dee6
NULL;ASIGURAT;PJ;NULL;VALCEA;RAMNICU VALCEA;21116736;RCA;;d3e0de1e58b84d773f706b5201575c89
NULL;ASIGURAT;PJ;NULL;ARGES;PITESTI;13368086;RCA;;1bc7518a92f0b150c56edf09e84141bb
NULL;ASIGURAT;PJ;NULL;ILFOV;CHITILA;27368437;RCA;;70b278012e90d75463b937f6b4ea6e8d
NULL;ASIGURAT;PJ;NULL;ILFOV;OTOPENI;25246999;RCA;;c3967f5f18c8550f1f138656f15008ea
NULL;ASIGURAT;PJ;NULL;DOLJ;PODARI;15710651;RCA;;c9a37af271146ca55d1abe69523e4204
NULL;ASIGURAT;PJ;NULL;BUCURESTI;BUCURESTI SECTORUL 3;21726810;RCA;;028e70007085c3935161a08dfe74142d
NULL;ASIGURAT;PJ;NULL;SUCEAVA;BOSANCI;19357788;RCA;;1f3a79b8d368d6c49cce0ad3584d5fd4
NULL;ASIGURAT;PJ;NULL;BUCURESTI;BUCURESTI;18638161;RCA;;1ab3afd29d7935969f957b45971e710a
NULL;ASIGURAT;PJ;NULL;BIHOR;ORADEA;14065934;RCA;;dec396799792026e5e3f751e7b878539
NULL;ASIGURAT;PJ;NULL;MARAMURES;BAIA MARE;201861763;RCA;;541809a6c534be53dff17390a63b96fc
NULL;ASIGURAT;PJ;NULL;BUCURESTI;BUCURESTI SECTORUL 1;25807427;RCA;;1ab3afd29d7935969f957b45971e710a
NULL;ASIGURAT;PJ;NULL;BIHOR;SANMARTIN;6562815;RCA;;34aed6b4394307c711d8b8fa82463e0f
NULL;ASIGURAT;PJ;NULL;SUCEAVA;SFANTU ILIE;12293491;RCA;;a7e076f00a5e68c416226f5e8906c24b
NULL;ASIGURAT;PJ;NULL;BUCURESTI;BUCURESTI SECTORUL 5;10505291;RCA;;8d67d22a2e2fa567c933701c97ba8acd
NULL;ASIGURAT;PJ;NULL;BUCURESTI;BUCURESTI SECTORUL 1;20439100;RCA;;92ea7b12061a7563834bf43e4878b204
NULL;ASIGURAT;PJ;NULL;SUCEAVA;SUCEAVA;202543815;RCA;;0aed50204e69996e22b9785d42ce5812
NULL;ASIGURAT;PJ;NULL;CLUJ;APAHIDA;26638624;RCA;;b0ff09d1022e43e1d9c67099b2b15e20
NULL;ASIGURAT;PJ;NULL;BUZAU;SAPOCA;13141254;RCA;;df2fc25027fcf6ae7ad6fc2c3152c525
NULL;ASIGURAT;PJ;NULL;BRASOV;BRASOV;24707598;RCA;;a632317dc849c726f8d0cc4a683402ab
NULL;ASIGURAT;PJ;NULL;BIHOR;ORADEA;4815538;RCA;;f09e108c355c9c7d368056d2cdfaa3b3
