"ID";"TIP";"TipVehiculAsigurat";"Categ";"Marca";"Model";"Capacitate";"Putere";"Nr_locuri";"An_fabr";"Masa_max";"0"
"32972";"RCA";"Inmatriculat";"Autoturism";"DAEWOO";"MATIZ";"796";"38";"5";"2001";"1210";"0"
"2272279";"RCA";"Inmatriculat";"Autoturism";"FORD";"FOCUS";"1753";"66";"5";"2000";"1755";"0"
"2356008";"RCA";"Inmatriculat";"Autoturism";"PEUGEOT";"207";"1360";"55";"5";"2007";"1450";"0"
"2465166";"RCA";"Inmatriculat";"Autoturism";"SEAT";"LEON";"1598";"77";"5";"2003";"1717";"0"
"2567957";"RCA";"Inmatriculat";"Autoturism";"OPEL";"CORSA";"973";"40";"5";"2000";"1390";"0"
"2691786";"RCA";"Inmatriculat";"Autoturism";"DACIA";"LOGAN";"1461";"48";"5";"2004";"1540";"0"
"2801287";"RCA";"Inmatriculat";"Autoturism";"DACIA";"LOGAN";"1461";"48";"5";"2006";"1600";"0"
"2804635";"RCA";"Inmatriculat";"Autoturism";"VW";"PASSAT VARIANT TDI";"1896";"85";"5";"1999";"1930";"0"
"2855669";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF";"1390";"90";"5";"2001";"1850";"0"
"2871821";"RCA";"Inmatriculat";"Autoturism";"MAZDA";"BJ/143/323 F";"1324";"54";"5";"2000";"1585";"0"
"2931697";"RCA";"Inmatriculat";"Autoturism";"FORD";"MONDEO";"1997";"96";"5";"2010";"2170";"0"
"2979173";"RCA";"Inmatriculat";"Autoturism";"SKODA";"FABIA 1.9 D ELEGANCE";"1896";"74";"5";"2002";"1660";"0"
"3067750";"RCA";"Inmatriculat";"Autoturism";"SUZUKI";"JIMNY";"1298";"55";"4";"1999";"1450";"0"
"3083975";"RCA";"Inmatriculat";"Autoturism";"ALFA ROMEO";"ALFA 146";"1369";"76";"5";"1997";"1680";"0"
"3105315";"RCA";"Inmatriculat";"Autoturism";"VW";"GOLF";"1896";"66";"5";"1999";"1780";"0"
"3287800";"RCA";"Inmatriculat";"Autoturism";"BMW";"320 D";"1995";"120";"5";"2006";"1935";"0"
"3327980";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF";"1781";"66";"5";"2000";"1550";"0"
"3351995";"RCA";"Inmatriculat";"Autoturism";"DACIA";"1307";"1870";"45";"5";"2004";"2060";"0"
"3352608";"RCA";"Inmatriculat";"Autoturism";"DACIA";"LOGAN";"1461";"48";"5";"2006";"1540";"0"
"3355899";"RCA";"Inmatriculat";"Autoturism";"BMW";"318D";"1995";"105";"5";"2007";"1950";"0"
"3360758";"RCA";"Inmatriculat";"Autoturism";"FORD";"FOCUS";"1753";"66";"5";"2000";"1755";"0"
"3376513";"RCA";"Inmatriculat";"Autoturism";"VW";"GOLF";"1896";"74";"5";"2006";"2000";"0"
"3376628";"RCA";"Inmatriculat";"Autoturism";"KIA";"CEED 1.6  DSL STYLE";"1582";"66";"5";"2007";"1820";"0"
"3404007";"RCA";"Inmatriculat";"Autoturism";"RENAULT";"MEGANE";"1461";"78";"5";"2007";"1795";"0"
"3407022";"RCA";"Inmatriculat";"Autoturism";"OPEL";"VECTRA";"1598";"74";"5";"1998";"1765";"0"
"3411758";"RCA";"Inmatriculat";"Autoturism";"DAEWOO";"CIELO";"1498";"55";"5";"1996";"1460";"0"
"3431079";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ASTRA";"1598";"76";"5";"2003";"1740";"0"
"3434556";"RCA";"Inmatriculat";"Autoturism";"MERCEDES";"E220CDI";"2148";"110";"5";"2005";"2145";"0"
"3487239";"RCA";"Inmatriculat";"Autoturism";"SKODA";"FABIA";"1390";"55";"5";"2004";"1646";"0"
"3504573";"RCA";"Inmatriculat";"Autoturism";"VW";"PASSAT";"1896";"96";"5";"2001";"1950";"0"
"3521653";"RCA";"Inmatriculat";"Autoturism";"BMW";"316I";"1795";"85";"5";"1994";"1645";"0"
"3530103";"RCA";"Inmatriculat";"Autoturism";"AUDI";"A4 1.9 TDI";"1896";"85";"5";"2001";"1860";"0"
"3550611";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF";"1598";"77";"5";"2011";"1960";"0"
"3551233";"RCA";"Inmatriculat";"Autoturism";"RENAULT";"MEGANE COUPE";"1390";"70";"5";"2000";"1610";"0"
"3575630";"RCA";"Inmatriculat";"Autoturism";"FORD";"FOCUS";"1560";"66";"5";"2006";"1790";"0"
"3586719";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF";"1390";"55";"5";"1998";"1655";"0"
"3633887";"RCA";"Inmatriculat";"Autoturism";"MERCEDES";"C 220 CDI";"2149";"125";"5";"2008";"2160";"0"
"3668194";"RCA";"Inmatriculat";"Autoturism";"AUDI";"A4";"1781";"69";"5";"2001";"1348";"0"
"3688465";"RCA";"Inmatriculat";"Autoturism";"VW";"POLO";"1390";"44";"5";"2001";"1470";"0"
"3711826";"RCA";"Inmatriculat";"Autoutilitara";"MAN";"TGX 18540";"12419";"397";"2";"2009";"18000";"0"
"3720084";"RCA";"Inmatriculat";"Autoturism";"SEAT";"CORDOBA";"1390";"55";"5";"2004";"1594";"0"
"3733322";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"PASSAT";"1896";"66";"5";"2005";"1997";"0"
"3779227";"RCA";"Inmatriculat";"Autoturism";"DACIA";"LOGAN";"1598";"77";"5";"2006";"1600";"0"
"3811347";"RCA";"Inmatriculat";"Autoutilitara";"DAF";"FT95.430S380";"12580";"315";"2";"2004";"19000";"0"
"3811851";"RCA";"Inmatriculat";"Autoturism";"SUZUKI";"IGNIS";"1328";"69";"5";"2004";"1470";"0"
"3816018";"RCA";"Inmatriculat";"Autoutilitara";"VOLVO";"FH";"12777";"345";"2";"2009";"20500";"0"
"3816184";"RCA";"Inmatriculat";"Autoutilitara";"VOLVO";"FH";"12777";"345";"2";"2011";"18000";"0"
"3816220";"RCA";"Inmatriculat";"Autoutilitara";"VOLVO";"FH";"12777";"345";"2";"2012";"19000";"0"
"3847655";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ASTRA 1.7";"1686";"59";"5";"2015";"1825";"0"
"3857243";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ASTRA";"1686";"55";"5";"1995";"1815";"0"
"3859246";"RCA";"Inmatriculat";"Autoturism";"AUDI";"A3";"1968";"100";"5";"2004";"1900";"0"
"3860851";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF";"1896";"66";"5";"2000";"1845";"0"
"3884765";"RCA";"Inmatriculat";"Autoturism";"VW";"PASSAT";"1896";"77";"5";"2006";"2030";"0"
"3891468";"RCA";"Inmatriculat";"Autoturism";"BMW";"520L";"2171";"125";"5";"2009";"2003";"0"
"3930313";"RCA";"Inmatriculat";"Autoturism";"VW";"PASSAT";"1896";"85";"5";"2000";"1910";"0"
"3933165";"RCA";"Inmatriculat";"Autoutilitara";"MERCEDES";"316";"2685";"115";"3";"2001";"3500";"0"
"3942469";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ZAFIRA";"1598";"74";"7";"2003";"1970";"0"
"3942744";"RCA";"Inmatriculat";"Autoturism";"BMW";"320D";"1951";"100";"5";"2000";"1875";"0"
"3967085";"RCA";"Inmatriculat";"Autoturism";"VW";"GOLF";"1896";"66";"5";"2002";"1890";"0"
"3980506";"RCA";"Inmatriculat";"Autoturism";"FORD";"FOCUS";"1596";"74";"5";"2002";"1570";"0"
"3996123";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ASTRA";"1995";"137";"5";"2009";"1810";"0"
"4012067";"RCA";"Inmatriculat";"Autoturism";"AUDI";"A3";"1968";"103";"5";"2010";"1900";"0"
"4104027";"RCA";"Inmatriculat";"Autoturism";"DACIA";"LOGAN";"1461";"48";"5";"2006";"1540";"0"
"4114405";"RCA";"Inmatriculat";"Autoutilitara";"MERCEDES BENZ";"413 CDI-N";"2200";"95";"3";"2001";"3500";"0"
"4135721";"RCA";"Inmatriculat";"Autoturism";"FORD";"FIESTA";"1299";"44";"5";"2000";"1405";"0"
"4147126";"RCA";"Inmatriculat";"Autoutilitara";"IVECO";"35C";"2287";"85";"3";"2008";"3500";"0"
"4169429";"RCA";"Inmatriculat";"Autoturism";"DACIA";"LSDAA";"1390";"55";"5";"2005";"1535";"0"
"4177524";"RCA";"Inmatriculat";"Autoturism";"SKODA";"FABIA 1.4 COMFORT";"1397";"50";"5";"2002";"1580";"0"
"4179513";"RCA";"Inmatriculat";"Autoutilitara";"MERCEDES";"416";"2685";"116";"3";"2003";"3500";"0"
"4187603";"RCA";"Inmatriculat";"Autoturism";"VW";"TOURAN 1.9TDI";"1896";"77";"5";"2005";"2200";"0"
"4193640";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"SHARAN 2.0 ";"1968";"103";"7";"2008";"2510";"0"
"4199880";"RCA";"Inmatriculat";"Autoturism";"BMW";"320D";"1995";"120";"5";"2005";"2045";"0"
"4222460";"RCA";"Inmatriculat";"Autoturism";"VW";"GOLF";"1598";"77";"5";"2001";"1750";"0"
"4261610";"RCA";"Inmatriculat";"Autoutilitara";"PEUGEOT";"BOXER";"2198";"74";"3";"2006";"3300";"0"
"4274293";"RCA";"Inmatriculat";"Autoturism";"HONDA";"CIVIC 5DR";"1799";"103";"5";"2007";"1750";"0"
"4295565";"RCA";"Inmatriculat";"Autoturism";"PEUGEOT";"407";"1997";"100";"5";"2004";"2105";"0"
"4319842";"RCA";"Inmatriculat";"Autoturism";"SMART";"FORFOUR";"1332";"70";"4";"2004";"1455";"0"
"4320949";"RCA";"Inmatriculat";"Autoturism";"SKODA";"SUPERB";"1968";"103";"5";"2011";"2110";"0"
"4324770";"RCA";"Inmatriculat";"Autoturism";"PEUGEOT";"206 1.4 HDI X-LINE";"1398";"50";"5";"2006";"1525";"0"
"4342765";"RCA";"Inmatriculat";"Remorca / atas";"SCHWARTZ MULER";"S1";"0";"0";"0";"2011";"39000";"0"
"4354417";"RCA";"Inmatriculat";"Autoturism";"HYUNDAI";"TUCSON";"1991";"103";"5";"2006";"2260";"0"
"4366793";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"PASSAT";"1896";"96";"5";"2004";"2030";"0"
"4370241";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF 4";"1896";"66";"5";"2001";"1410";"0"
"4371694";"RCA";"Inmatriculat";"Autoturism";"VW";"GOLF";"1781";"55";"5";"2005";"1535";"0"
"4379794";"RCA";"Inmatriculat";"Autoutilitara";"MERCEDES";"SPRINTER";"2148";"80";"3";"2001";"3500";"0"
"4382349";"RCA";"Inmatriculat";"Autoutilitara";"PEUGEOT";"BOXER";"2198";"74";"3";"2007";"3500";"0"
"4416536";"RCA";"Inmatriculat";"Autoturism";"VW";"GOLF";"1896";"66";"5";"2000";"1780";"0"
"4432650";"RCA";"Inmatriculat";"Autoutilitara";"IVECO";"DAILY";"2286";"85";"3";"2001";"3500";"0"
"4437927";"RCA";"Inmatriculat";"Autoutilitara";"FORD";"TRANSIT";"2402";"74";"7";"2007";"3500";"0"
"4448387";"RCA";"Inmatriculat";"Autoturism";"BMW";"318 IS";"1795";"103";"5";"1993";"1680";"0"
"4456659";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"GOLF";"1896";"77";"5";"2009";"1970";"0"
"4458982";"RCA";"Inmatriculat";"Autoturism";"VW";"GOLF 1,9TDI";"1896";"74";"5";"2001";"1900";"0"
"4459916";"RCA";"Inmatriculat";"Autoturism";"PEUGEOT";"307";"1997";"79";"5";"2002";"2016";"0"
"4471370";"RCA";"Inmatriculat";"Autoturism";"FORD";"ESCORT";"1753";"44";"5";"1991";"1500";"0"
"4475170";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ASTRA";"1796";"92";"4";"2004";"1635";"0"
"4480530";"RCA";"Inmatriculat";"Autoturism";"DACIA";"LOGAN";"1390";"55";"5";"2005";"1535";"0"
"4494389";"RCA";"Inmatriculat";"Autoutilitara";"MERCEDES";"SPRINTER";"2148";"80";"3";"2000";"2800";"0"
"4503672";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ASTRA";"1598";"62";"5";"2001";"1660";"0"
"4508222";"RCA";"Inmatriculat";"Autoutilitara";"CITROEN";"JUMPER";"2198";"96";"3";"2015";"3500";"0"
"4512700";"RCA";"Inmatriculat";"Autoutilitara";"NISSAN";"PICKUP";"2488";"98";"5";"2009";"2860";"0"
"4531705";"RCA";"Inmatriculat";"Autoturism";"SKODA";"OCTAVIA";"1896";"77";"5";"2008";"1985";"0"
"4532722";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"PASSAT";"1968";"103";"5";"2007";"2060";"0"
"4541311";"RCA";"Inmatriculat";"Autoturism";"OPEL";"ASTRA";"1598";"55";"5";"1996";"1730";"0"
"4544179";"RCA";"Inmatriculat";"Autoturism";"VOLKSWAGEN";"SHARAN";"1896";"85";"7";"2004";"2510";"0"
"4546270";"RCA";"Inmatriculat";"Autoturism";"NISSAN";"JUKE";"1598";"86";"5";"2011";"1645";"0"
