"ID";"tip";"data_Start";"data_End";"BM";"Prima";"valuta";"sumaAsig";"factorReducere";"factorMajorare";"data_emitere";"nrRate";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL"
"32972";"RCA";"2012-01-03";"2012-07-02";"B0";"186";"RON";"0";"Fara";;"2012-01-02";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"2272279";"RCA";"2015-01-24";"2016-01-23";"B4";"260.17";"RON";"0";"Pensionar";;"2015-01-21";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"2356008";"RCA";"2015-03-05";"2016-03-04";"B2";"436.2";"RON";"0";"Fara";;"2015-03-04";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"2465166";"RCA";"2015-04-06";"2015-05-05";"B0";"70.85";"RON";"0";"Fara";;"2015-04-06";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"2567957";"RCA";"2015-05-08";"2016-05-07";"B7";"263.38";"RON";"0";"Rural";;"2015-05-07";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"2691786";"RCA";"2015-06-18";"2016-06-17";"B12";"183.38";"RON";"0";"Pensionar";;"2015-06-17";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"2801287";"RCA";"2015-07-29";"2016-07-28";"B13";"322.68";"RON";"0";"Fara";;"2015-07-20";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"2804635";"RCA";"2015-07-21";"2015-08-20";"B0";"56.94";"RON";"0";"Rural";;"2015-07-21";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"2855669";"RCA";"2015-08-07";"2016-02-06";"B1";"609.35";"RON";"0";"Fara";;"2015-08-06";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"2871821";"RCA";"2015-08-13";"2016-08-12";"B3";"217.14";"RON";"0";"Pensionar";;"2015-08-12";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
